Código;Pilas:;Frente: ;Ni;Co;Fe;SiO2;MgO;Al2O3;Cr2O3;Mn;Cu;Zn;Na;K
M105;114;YN;1,41;0,09;34,62;15,87;7,98;4,53;;0,75;0,02;0,03;0,02;0
M106;115;YS;2;0,05;24,53;23,23;17,13;5,01;;0,45;0,02;0,04;0,04;0
M107;117;YN;1,12;0,05;22,36;28,39;19,41;2,6;;0,44;0,01;0,02;0,03;0,01
M108;118;YN;1,2;0,05;27,13;24,36;18,28;2,83;;0,51;0,01;0,02;0,02;0
M109;119;YS;1,94;0,06;27,18;20,74;16,48;4,95;;0,46;0,02;0,04;0,03;0,01
M110;120;YN;1,46;0,07;33,56;16,35;10,72;4;;0,72;0,01;0,03;0,02;0
M111;122;PG;1,01;0,19;44,56;5,29;4,63;6,2;;0,84;0,01;0,04;0,01;0
M112;123;PG;0,95;0,14;47,19;3,32;1,55;7,34;;0,68;0,01;0,04;0,02;0
M113;124;PG;0,84;0,08;47,8;2,94;1,51;9,21;;0,54;0,01;0,03;0,01;0
M114;125;PG;1,07;0,18;46,84;6,08;3,07;5,91;;0,77;0,01;0,04;0,02;0
M115;127;PG;0,84;0,23;47,7;2,82;0,76;6,75;;0,99;0,02;0,04;0,01;0
M116;128;PG;0,88;0,29;48,19;3,01;1,62;6,17;;1,17;0,02;0,05;0,02;0,01
M117;129;PG;0,81;0,26;43,51;5,9;5,56;5,63;;1,05;0,02;0,04;0,03;0
M118;130;PG;0,79;0,26;38,46;9,48;10,14;4,92;;1,01;0,01;0,04;0,02;0
M119;132;YS;1,08;0,16;39,55;8,96;7,3;4,93;;0,8;0,01;0,04;0,02;0
M120;133;YS;0,99;0,18;37,32;9,24;8,88;5,02;;0,78;0,01;0,04;0,03;0,01
M121;134;PG;0,93;0,22;47,49;3,95;2,27;5,89;;1,16;0,02;0,05;0,02;0
M122;135;PG;0,9;0,15;48,2;3,43;2,03;6,15;;1,14;0,02;0,05;0,02;0
M123;137;YS;1,16;0,27;40,05;6,54;3,34;6,91;;1,22;0,03;0,04;0,02;0
M124;138;YS;1,05;0,19;39,86;7,55;5,31;5,57;;0,9;0,03;0,04;0,02;0
M125;139;PG;0,87;0,16;45,97;4,32;2,71;6,02;;1,15;0,02;0,04;0,02;0
M126;140;PG;0,87;0,24;42,83;6,88;5,54;5,55;;0,96;0,02;0,04;0,02;0
M127;142;YS;1,12;0,19;43,01;6;4,75;4,3;;0,91;0,04;0,05;0,02;0
M128;143;PG;0,85;0,24;46,21;5,8;4,85;5,98;;0,97;0,02;0,04;0,02;0,01
M129;144;YS;0,95;0,13;30,94;13,8;15,07;4,28;;0,66;0,02;0,04;0,02;0,01
M130;145;YN;1,28;0,16;44,56;5,67;1,09;6,94;;0,99;0,02;0,04;0,02;0
M131;147;PG;0,9;0,12;44,08;5,26;9,98;7,71;;0,66;0,01;0,04;0,01;0
M132;148;PG;1,11;0,19;44,23;4,94;1,73;7,23;;0,82;0,02;0,05;0,01;0
M133;149;PG;1,13;0,16;46,53;4,43;4,5;6,07;;0,77;0,01;0,04;0,03;0
M134;150;PG;1,02;0,13;37,41;12,02;1,04;4,43;;0,65;0,01;0,04;0,02;0
M135;152;PG;1,32;0,18;44,52;5,41;2,81;5,67;;0,76;0,01;0,05;0,02;0
M136;153;YN;0,81;0,1;41,37;6,82;1,64;8,91;;0,65;0,02;0,03;0,03;0,01
M137;154;YS;1,01;0,11;43,19;6,82;2,97;6,02;;0,58;0,02;0,03;0,02;0
M138;155;YN;1,02;0,14;44,14;5,39;0,98;7,13;;0,82;0,02;0,04;0,03;0
M139;157;YN;1,28;0,11;43,07;6,59;1,91;6,35;;0,81;0,02;0,04;0,04;0
M140;290;CE;0,85;0,06;49,16;6,59;0,16;6,35;;0,57;0,02;0,04;0,04;0
M141;291;CE;0,83;0,07;48,63;6,59;0,24;6,35;;0,62;0,02;0,04;0,04;0
M142;292;CE;0,84;0,08;48,36;6,59;0,26;6,35;;0,55;0,02;0,04;0,03;0
M143;293;CE;0,82;0,07;48,55;6,59;0,24;6,35;;0,55;0,02;0,04;0,04;0
M144;294;CE;0,82;0,06;48,35;6,59;0,28;6,35;;0,39;0,02;0,04;0,03;0
M145;295;CE;0,82;0,07;48,6;6,59;0,26;6,35;;0,44;0,02;0,04;0,04;0
M146;296;CE;0,9;0,07;47,25;6,59;0,26;6,35;;0,48;0,02;0,04;0,04;0
M147;297;CE;0,88;0,07;48,78;6,59;0,27;6,35;;0,47;0,02;0,04;0,04;0
M148;298;CE;0,87;0,07;48,26;6,59;0,28;6,35;;0,45;0,02;0,04;0,04;0
M149;299;CE;0,84;0,07;49,08;6,59;0,13;6,35;;0,47;0,02;0,04;0,04;0
M150;300;CE;1,06;0,1;50,3;6,59;0,19;6,35;;0,66;0,02;0,04;0,04;0
M151;301;CE;0,97;0,05;49,46;6,59;0,22;6,35;;0,39;0,02;0,04;0,04;0
M152;302;CE;0,98;0,08;49,57;6,59;0,27;6,35;;0,55;0,02;0,04;0,04;0
M153;303;CE;0,89;0,07;48,9;6,59;0,24;6,35;;0,45;0,02;0,04;0,04;0
M154;304;CE;0,93;0,08;49;6,59;0,22;6,35;;0,52;0,02;0,04;0,04;0
M155;305;CE;0,99;0,1;48,67;6,59;0,2;6,35;;0,56;0,02;0,04;0,04;0
M156;306;CE;0,94;0,08;49,15;6,59;0,17;6,35;;0,63;0,02;0,04;0,04;0
M157;307;CE;0,96;0,09;50,23;6,59;0,18;6,35;;0,55;0,02;0,04;0,04;0
M158;308;CE;0,98;0,1;49,61;6,59;0,15;6,35;;0,55;0,02;0,04;0,04;0
M159;309;CE;1,21;0,2;49,6;6,59;0,21;6,35;;0,61;0,02;0,04;0,05;0
M160;310;CE;;;;;;;;;;;;
M161;311;CE;;;;;;;;;;;;
